index,awy_weight,sde_weight,sdl_weight,awy_score,sde_score,sdl_score,frontier_id,input_budget,input_2,input_1,input_spat,port_rast,AWY_1_rast_delta_abs,SDE_2_rast_delta_abs,SDL_3_rast_delta_abs
56,1.0,0.0,0.0,4.685569,-1e-05,-0.00146,5,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_1_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_1_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_1_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_1_6_2_4_1.25e+09.tif
57,0.75,0.25,0.0,4.685569,-1e-05,-0.00146,5,1250000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_2_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_awy_4_Maragua_2_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_sed_4_Maragua_2_6_2_4_1.25e+09.tif,Maragua_maps/mv_rast_soil_4_Maragua_2_6_2_4_1.25e+09.tif
58,0.25,0.75,0.0,2.194961,0.168254,0.804191,4,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_4_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_4_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_4_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_4_6_2_4_6.25e+08.tif
59,0.0,1.0,0.0,-2.878479,0.756051,4.372633,4,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_5_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_5_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_5_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_5_6_2_4_6.25e+08.tif
60,0.75,0.0,0.25,2.455346,0.05204,0.255153,4,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_6_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_6_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_6_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_6_6_2_4_6.25e+08.tif
61,0.5,0.25,0.25,2.163813,0.174707,0.892655,4,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_7_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_7_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_7_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_7_6_2_4_6.25e+08.tif
62,0.25,0.5,0.25,0.038995,0.555615,3.163176,4,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_8_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_8_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_8_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_8_6_2_4_6.25e+08.tif
63,0.0,0.75,0.25,-3.194542,0.744929,4.50242,4,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_9_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_9_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_9_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_9_6_2_4_6.25e+08.tif
64,0.5,0.0,0.5,1.050994,0.406427,2.289411,4,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_10_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_10_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_10_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_10_6_2_4_6.25e+08.tif
65,0.25,0.25,0.5,-1.476354,0.697584,4.147439,4,625000000.0,2.5,2,0,Maragua_maps/soln_4_Maragua_11_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_awy_4_Maragua_11_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_sed_4_Maragua_11_6_2_4_6.25e+08.tif,Maragua_maps/mv_rast_soil_4_Maragua_11_6_2_4_6.25e+08.tif
